"seller","day_of_week","income"
Abraham Bennet,monday   ,231844773
Albert Ringer,monday   ,392377854
Ann Dull,monday   ,39656450
Anne Ringer,monday   ,53386831
Burt Gringlesby,monday   ,118429770
Charlene Locksley,monday   ,108450409
Cheryl Carson,monday   ,77977518
Dean Straight,monday   ,192550087
Dirk Stringer,monday   ,759341252
Heather McBadden,monday   ,293014641
Innes del Castillo,monday   ,260992390
Johnson White,monday   ,98560415
Livia Karsen,monday   ,132386595
Marjorie Green,monday   ,97539656
Meander Smith,monday   ,52160174
Michael O'Leary,monday   ,138096227
Michel DeFrance,monday   ,479584595
Morningstar Greene,monday   ,67380952
Reginald Blotchet-Halls,monday   ,103178414
Sheryl Hunter,monday   ,153301256
Stearns MacFeather,monday   ,30778056
Sylvia Panteley,monday   ,96399340
Abraham Bennet,tuesday  ,259057535
Albert Ringer,tuesday  ,419021545
Ann Dull,tuesday  ,38097444
Anne Ringer,tuesday  ,55417702
Burt Gringlesby,tuesday  ,114453972
Charlene Locksley,tuesday  ,102419401
Cheryl Carson,tuesday  ,76905428
Dean Straight,tuesday  ,183459004
Dirk Stringer,tuesday  ,734549822
Heather McBadden,tuesday  ,267891416
Innes del Castillo,tuesday  ,285472978
Johnson White,tuesday  ,100275240
Livia Karsen,tuesday  ,145696047
Marjorie Green,tuesday  ,102488746
Meander Smith,tuesday  ,63913894
Michael O'Leary,tuesday  ,125258219
Michel DeFrance,tuesday  ,467420075
Morningstar Greene,tuesday  ,67737108
Reginald Blotchet-Halls,tuesday  ,89298030
Sheryl Hunter,tuesday  ,163754471
Stearns MacFeather,tuesday  ,31056262
Sylvia Panteley,tuesday  ,99289819
Abraham Bennet,wednesday,214842390
Albert Ringer,wednesday,403718254
Ann Dull,wednesday,35588654
Anne Ringer,wednesday,46106119
Burt Gringlesby,wednesday,119047452
Charlene Locksley,wednesday,106731164
Cheryl Carson,wednesday,66729786
Dean Straight,wednesday,168092777
Dirk Stringer,wednesday,642376462
Heather McBadden,wednesday,249479670
Innes del Castillo,wednesday,245729721
Johnson White,wednesday,89036254
Livia Karsen,wednesday,156662664
Marjorie Green,wednesday,94949155
Meander Smith,wednesday,49655840
Michael O'Leary,wednesday,134524993
Michel DeFrance,wednesday,439203611
Morningstar Greene,wednesday,64838515
Reginald Blotchet-Halls,wednesday,80548553
Sheryl Hunter,wednesday,140290709
Stearns MacFeather,wednesday,24953624
Sylvia Panteley,wednesday,85876265
Abraham Bennet,thursday ,226133449
Albert Ringer,thursday ,405676550
Ann Dull,thursday ,36627084
Anne Ringer,thursday ,55678587
Burt Gringlesby,thursday ,103250701
Charlene Locksley,thursday ,102081316
Cheryl Carson,thursday ,70730586
Dean Straight,thursday ,182913429
Dirk Stringer,thursday ,693463546
Heather McBadden,thursday ,289587873
Innes del Castillo,thursday ,247744272
Johnson White,thursday ,91715346
Livia Karsen,thursday ,168820537
Marjorie Green,thursday ,90204515
Meander Smith,thursday ,56688794
Michael O'Leary,thursday ,130193756
Michel DeFrance,thursday ,481154499
Morningstar Greene,thursday ,61406743
Reginald Blotchet-Halls,thursday ,89971445
Sheryl Hunter,thursday ,148433981
Stearns MacFeather,thursday ,22585284
Sylvia Panteley,thursday ,91590596
Abraham Bennet,friday   ,233934912
Albert Ringer,friday   ,357491998
Ann Dull,friday   ,37432766
Anne Ringer,friday   ,51753210
Burt Gringlesby,friday   ,109360118
Charlene Locksley,friday   ,97761135
Cheryl Carson,friday   ,80473382
Dean Straight,friday   ,176048742
Dirk Stringer,friday   ,672023344
Heather McBadden,friday   ,245868792
Innes del Castillo,friday   ,231816172
Johnson White,friday   ,91757594
Livia Karsen,friday   ,172939397
Marjorie Green,friday   ,99954725
Meander Smith,friday   ,53551904
Michael O'Leary,friday   ,142326715
Michel DeFrance,friday   ,473980351
Morningstar Greene,friday   ,62928858
Reginald Blotchet-Halls,friday   ,96796834
Sheryl Hunter,friday   ,158669287
Stearns MacFeather,friday   ,28022214
Sylvia Panteley,friday   ,91390713
Abraham Bennet,saturday ,219356610
Albert Ringer,saturday ,359055277
Ann Dull,saturday ,37658422
Anne Ringer,saturday ,48579118
Burt Gringlesby,saturday ,108212027
Charlene Locksley,saturday ,100507406
Cheryl Carson,saturday ,69224786
Dean Straight,saturday ,176094664
Dirk Stringer,saturday ,724561776
Heather McBadden,saturday ,260891529
Innes del Castillo,saturday ,245764978
Johnson White,saturday ,91955628
Livia Karsen,saturday ,142421308
Marjorie Green,saturday ,95302933
Meander Smith,saturday ,53094336
Michael O'Leary,saturday ,131118621
Michel DeFrance,saturday ,480574332
Morningstar Greene,saturday ,64598381
Reginald Blotchet-Halls,saturday ,92451526
Sheryl Hunter,saturday ,143801988
Stearns MacFeather,saturday ,27623612
Sylvia Panteley,saturday ,87097812
Abraham Bennet,sunday   ,232328297
Albert Ringer,sunday   ,362985328
Ann Dull,sunday   ,34137950
Anne Ringer,sunday   ,49050696
Burt Gringlesby,sunday   ,112782235
Charlene Locksley,sunday   ,93744879
Cheryl Carson,sunday   ,69553490
Dean Straight,sunday   ,176872919
Dirk Stringer,sunday   ,698820406
Heather McBadden,sunday   ,266458383
Innes del Castillo,sunday   ,244679152
Johnson White,sunday   ,88933671
Livia Karsen,sunday   ,137975357
Marjorie Green,sunday   ,104815304
Meander Smith,sunday   ,56678228
Michael O'Leary,sunday   ,125981586
Michel DeFrance,sunday   ,438321186
Morningstar Greene,sunday   ,68472748
Reginald Blotchet-Halls,sunday   ,80496357
Sheryl Hunter,sunday   ,148514289
Stearns MacFeather,sunday   ,27431220
Sylvia Panteley,sunday   ,95337126
